기관명,분류,검진실 전화번호,대표번호,도시,지역구,상세주소,관련 검진수,일반검진,위암검진,간암검진,대장암검진,유방암검진,우편번호,권역,위도(X),경도(Y),정렬용_지역키
인천기독병원,종합병원,032-270-8270,032-270-8000,인천광역시,중구,인천광역시 중구 답동로30번길 10 (율목동) ,4,FALSE,TRUE,TRUE,TRUE,TRUE,22320,수도권,126.632069813476,37.4711775649549,28_110
인하대학교의과대학부속병원,종합병원,032-890-2861,032-890-2114,인천광역시,중구,인천광역시 중구 인항로 27-0 인하대학병원 ,4,FALSE,TRUE,TRUE,TRUE,TRUE,22332,수도권,126.634164234522,37.4588539721174,28_110
의료법인 성세의료재단 영종국제병원,병원,032-721-3050,032-721-3000,인천광역시,중구,"인천광역시 중구 하늘별빛로65번길 7-9 3층 (중산동,스카이타워)",5,TRUE,TRUE,TRUE,TRUE,TRUE,22397,수도권,126.564667781279,37.4884699907903,28_110
퍼스트병원,병원,032-888-9800,032-888-9800,인천광역시,중구,인천광역시 중구 서해대로 492 퍼스트병원 (유동) ,1,TRUE,FALSE,FALSE,FALSE,FALSE,22326,수도권,126.637067256695,37.4693929003764,28_110
이재준내과의원,내과의원,032-883-6347,032-883-6347,인천광역시,중구,인천광역시 중구 축항대로86번길 38 (항동7가),4,TRUE,TRUE,TRUE,TRUE,FALSE,22348,수도권,126.604684173028,37.4535768012618,28_110
아이본산부인과의원,의원,032-772-7474,032-772-7474,인천광역시,중구,인천광역시 중구 참외전로 160-1 (경동),0,FALSE,FALSE,FALSE,FALSE,FALSE,22318,수도권,126.634219588481,37.4729664283115,28_110
성모연합의원,의원,032-710-4474,032-710-4474,인천광역시,중구,인천광역시 중구 우현로 41 2층 (신포동),0,FALSE,FALSE,FALSE,FALSE,FALSE,22322,수도권,126.627886561932,37.4711092336264,28_110
인천국제공항의원,의원,032-743-3119,032-743-3119,인천광역시,중구,인천광역시 중구 공항로 272 (운서동) ,1,TRUE,FALSE,FALSE,FALSE,FALSE,22382,수도권,126.427699293474,37.458350712273,28_110
신흥메디칼의원,의원,032-885-7582,032-885-7582,인천광역시,중구,인천광역시 중구 도원로7번길 11 (신흥동3가),3,TRUE,TRUE,FALSE,TRUE,FALSE,22329,수도권,126.635789815099,37.4655367173964,28_110
삼성내과의원,내과의원,032-762-1137,032-762-1137,인천광역시,중구,인천광역시 중구 서해대로 476 우정빌딩 1층 (유동),4,TRUE,TRUE,TRUE,TRUE,FALSE,22326,수도권,126.636216959902,37.4683873757975,28_110
주내과의원,내과의원,032-751-7582,032-751-7582,인천광역시,중구,인천광역시 중구 흰바위로 31 2층 (운서동),1,TRUE,FALSE,FALSE,FALSE,FALSE,22371,수도권,126.488460810471,37.492767084284,28_110
신제일산부인과의원,의원,032-751-1119,032-751-1119,인천광역시,중구,"인천광역시 중구 신도시남로 137 화평빌딩 4층 401,402호 (운서동) ",0,FALSE,FALSE,FALSE,FALSE,FALSE,22371,수도권,126.490071874241,37.4936747767783,28_110
연세참가정의학과의원,의원,032-766-0075,032-766-0075,인천광역시,중구,인천광역시 중구 우현로 47 4층 (신포동),0,FALSE,FALSE,FALSE,FALSE,FALSE,22322,수도권,126.628147192739,37.4715076678486,28_110
연세공항의원,의원,032-751-6119,032-751-6119,인천광역시,중구,"인천광역시 중구 공항로424번길 66 (운서동, 엘지인천공항에클라트 비111호, 비112호 )",4,TRUE,TRUE,TRUE,TRUE,FALSE,22382,수도권,126.462118925227,37.4387969897927,28_110
온누리내과의원,내과의원,032-747-0470,032-747-0470,인천광역시,중구,인천광역시 중구 신도시남로 137 2~3층 (운서동),5,TRUE,TRUE,TRUE,TRUE,TRUE,22371,수도권,126.490071874241,37.4936747767783,28_110
편안내과의원,내과의원,032-747-2236,032-747-2236,인천광역시,중구,인천광역시 중구 하늘별빛로 71 4층 (중산동),4,TRUE,TRUE,TRUE,TRUE,FALSE,22377,수도권,37.48962729482604,126.56321893039231,28_110
하늘도시산부인과의원,의원,032-746-1236,032-746-1236,인천광역시,중구,"인천광역시 중구 하늘달빛로 94 스타타워 5층 509,510,511호 (중산동)",0,FALSE,FALSE,FALSE,FALSE,FALSE,22402,수도권,126.557479956012,37.4872992856278,28_110
하늘메디컬의원,의원,032-752-6008,032-752-6008,인천광역시,중구,인천광역시 중구 하늘중앙로 193 조양타워 4층 401호 (중산동),5,TRUE,TRUE,TRUE,TRUE,TRUE,22397,수도권,126.560504566192,37.4904067753098,28_110
장튼튼내과의원,내과의원,032-752-2388,032-752-2388,인천광역시,중구,인천광역시 중구 하늘달빛로 94 스타타워1 301~303호 (중산동),5,TRUE,TRUE,TRUE,TRUE,TRUE,22402,수도권,126.557479956012,37.4872992856278,28_110
